date,employed_000s
1984-11-01,13.9259
1985-02-01,13.8938
1985-05-01,14.4486
1985-08-01,14.8922
1985-11-01,16.1491
1986-02-01,15.6402
1986-05-01,17.218
1986-08-01,16.3629
1986-11-01,17.4918
1987-02-01,17.6699
1987-05-01,17.7014
1987-08-01,18.0459
1987-11-01,17.2459
1988-02-01,17.5603
1988-05-01,18.7972
1988-08-01,19.2926
1988-11-01,19.7508
1989-02-01,19.5518
1989-05-01,21.3079
1989-08-01,21.0994
1989-11-01,21.8639
1990-02-01,20.7847
1990-05-01,21.4928
1990-08-01,23.0464
1990-11-01,23.3298
1991-02-01,23.3727
1991-05-01,24.6323
1991-08-01,23.4636
1991-11-01,23.7911
1992-02-01,24.4387
1992-05-01,24.3513
1992-08-01,24.9932
1992-11-01,25.6254
1993-02-01,24.8714
1993-05-01,24.9792
1993-08-01,25.0472
1993-11-01,25.6841
1994-02-01,26.5555
1994-05-01,28.1836
1994-08-01,35.2492
1994-11-01,39.4146
1995-02-01,39.8703
1995-05-01,45.8494
1995-08-01,45.0613
1995-11-01,44.5447
1996-02-01,50.2528
1996-05-01,54.1878
1996-08-01,52.3134
1996-11-01,48.7516
1997-02-01,51.2289
1997-05-01,58.9162
1997-08-01,65.3013
1997-11-01,58.8466
1998-02-01,67.3881
1998-05-01,73.4461
1998-08-01,80.8224
1998-11-01,81.6196
1999-02-01,74.6229
1999-05-01,72.3595
1999-08-01,75.575
1999-11-01,82.9091
2000-02-01,107.7147
2000-05-01,114.1445
2000-08-01,120.9738
2000-11-01,132.4966
2001-02-01,135.926
2001-05-01,128.5068
2001-08-01,114.3758
2001-11-01,116.2953
2002-02-01,121.9219
2002-05-01,121.7009
2002-08-01,126.9858
2002-11-01,123.0532
2003-02-01,119.7968
2003-05-01,122.2567
2003-08-01,120.5384
2003-11-01,117.8842
2004-02-01,110.1922
2004-05-01,114.551
2004-08-01,106.7227
2004-11-01,113.5406
2005-02-01,105.9
2005-05-01,104.7654
2005-08-01,112.4215
2005-11-01,122.7459
2006-02-01,120.5942
2006-05-01,119.0149
2006-08-01,122.672
2006-11-01,115.9453
2007-02-01,110.603
2007-05-01,120.0671
2007-08-01,128.3173
2007-11-01,131.0806
2008-02-01,127.2906
2008-05-01,129.3382
2008-08-01,141.5093
2008-11-01,137.4293
2009-02-01,145.4265
2009-05-01,155.8179
2009-08-01,158.942
2009-11-01,157.9231
2010-02-01,159.6221
2010-05-01,149.2006
2010-08-01,162.4109
2010-11-01,154.3455
2011-02-01,167.8531
2011-05-01,163.0918
2011-08-01,169.0263
2011-11-01,179.1237
2012-02-01,177.669
2012-05-01,182.9731
2012-08-01,177.6654
2012-11-01,181.0888
2013-02-01,177.0942
2013-05-01,177.3419
2013-08-01,185.2392
2013-11-01,168.9739
2014-02-01,179.7506
2014-05-01,180.1151
2014-08-01,202.4781
2014-11-01,182.8354
2015-02-01,186.7978
2015-05-01,203.8691
2015-08-01,202.2748
2015-11-01,190.6274
2016-02-01,191.3346
2016-05-01,207.6552
2016-08-01,213.1837
2016-11-01,207.1257
2017-02-01,211.2902
2017-05-01,228.4631
2017-08-01,229.3193
2017-11-01,226.5167
2018-02-01,235.2846
2018-05-01,244.7119
2018-08-01,277.7516
2018-11-01,226.5016
2019-02-01,246.9565
2019-05-01,248.4173
2019-08-01,252.3875
2019-11-01,243.1604
2020-02-01,270.2301
2020-05-01,264.4359
2020-08-01,275.3565
2020-11-01,284.1029
2021-02-01,296.8326
2021-05-01,298.9192
2021-08-01,281.7171
2021-11-01,303.9659
2022-02-01,317.5741
2022-05-01,320.9489
2022-08-01,360.3341
2022-11-01,383.6438
2023-02-01,341.4862
2023-05-01,328.7173
2023-08-01,341.8223
2023-11-01,347.4935
2024-02-01,344.4685
2024-05-01,352.9039
2024-08-01,354.2995
2024-11-01,339.776
2025-02-01,313.7129
2025-05-01,351.9245
2025-08-01,359.9959
2025-11-01,356.785
2026-02-01,381.1428
