date,city,industry,employed_fulltime_000s,employed_parttime_000s,employed_total_000s
1984-11-01,Australian Capital Territory,Information Media and Telecommunications,2.3941,0.3568,2.7509
1984-11-01,Australian Capital Territory,"Professional, Scientific and Technical Services",5.4506,1.2495,6.7001
1984-11-01,Northern Territory,Information Media and Telecommunications,1.4152,0.2308,1.6461
1984-11-01,Northern Territory,"Professional, Scientific and Technical Services",1.978,0.3948,2.3728
1985-02-01,Australian Capital Territory,Information Media and Telecommunications,2.2332,0.2186,2.4519
1985-02-01,Australian Capital Territory,"Professional, Scientific and Technical Services",5.4889,1.2958,6.7846
1985-02-01,Northern Territory,Information Media and Telecommunications,1.6279,0.2909,1.9188
1985-02-01,Northern Territory,"Professional, Scientific and Technical Services",2.3776,0.1328,2.5104
1985-05-01,Australian Capital Territory,Information Media and Telecommunications,2.6571,0.4663,3.1234
1985-05-01,Australian Capital Territory,"Professional, Scientific and Technical Services",6.3585,1.1491,7.5076
1985-05-01,Northern Territory,Information Media and Telecommunications,1.0579,0.2016,1.2595
1985-05-01,Northern Territory,"Professional, Scientific and Technical Services",2.3608,0.3417,2.7025
1985-08-01,Australian Capital Territory,Information Media and Telecommunications,2.3595,0.6736,3.0331
1985-08-01,Australian Capital Territory,"Professional, Scientific and Technical Services",5.965,0.9299,6.8949
1985-08-01,Northern Territory,Information Media and Telecommunications,1.5551,0.1713,1.7264
1985-08-01,Northern Territory,"Professional, Scientific and Technical Services",2.9218,0.4026,3.3244
1985-11-01,Australian Capital Territory,Information Media and Telecommunications,2.4881,0.5441,3.0322
1985-11-01,Australian Capital Territory,"Professional, Scientific and Technical Services",5.6247,1.5901,7.2148
1985-11-01,Northern Territory,Information Media and Telecommunications,1.5181,0.0056,1.5237
1985-11-01,Northern Territory,"Professional, Scientific and Technical Services",2.3602,0.5004,2.8607
1986-02-01,Australian Capital Territory,Information Media and Telecommunications,2.6825,0.4552,3.1377
1986-02-01,Australian Capital Territory,"Professional, Scientific and Technical Services",5.5612,1.3534,6.9146
1986-02-01,Northern Territory,Information Media and Telecommunications,1.6567,0.0053,1.662
1986-02-01,Northern Territory,"Professional, Scientific and Technical Services",2.8093,0.367,3.1763
1986-05-01,Australian Capital Territory,Information Media and Telecommunications,2.5826,0.5461,3.1287
1986-05-01,Australian Capital Territory,"Professional, Scientific and Technical Services",3.4484,1.546,4.9944
1986-05-01,Northern Territory,Information Media and Telecommunications,2.314,0.2431,2.5572
1986-05-01,Northern Territory,"Professional, Scientific and Technical Services",1.7771,0.7967,2.5738
1986-08-01,Australian Capital Territory,Information Media and Telecommunications,2.3782,0.4146,2.7928
