date,state,imt_employed_000s,prof_tech_employed_000s
1984-11-01,Australia,158.1423,258.153
1985-02-01,Australia,160.0807,264.4272
1985-05-01,Australia,164.4547,272.625
1985-08-01,Australia,165.8034,273.5109
1985-11-01,Australia,165.2321,280.0056
1986-02-01,Australia,165.5378,292.7526
1986-05-01,Australia,166.1041,292.953
1986-08-01,Australia,170.1738,286.9495
1986-11-01,Australia,164.8347,302.0289
1987-02-01,Australia,163.0598,314.8422
1987-05-01,Australia,165.7005,311.5548
1987-08-01,Australia,165.4064,313.0828
1987-11-01,Australia,169.5796,311.683
1988-02-01,Australia,168.871,322.5922
1988-05-01,Australia,168.1197,333.9385
1988-08-01,Australia,169.6832,338.0603
1988-11-01,Australia,175.9022,341.8455
1989-02-01,Australia,176.095,345.8344
1989-05-01,Australia,174.0988,343.7434
1989-08-01,Australia,179.6777,357.7193
1989-11-01,Australia,177.5529,371.9405
1990-02-01,Australia,168.0005,381.6964
1990-05-01,Australia,176.4412,361.1402
1990-08-01,Australia,180.3548,365.0853
1990-11-01,Australia,178.1564,370.9056
1991-02-01,Australia,178.985,376.4072
1991-05-01,Australia,170.4948,384.2573
1991-08-01,Australia,168.8089,392.2755
1991-11-01,Australia,168.2132,382.8923
1992-02-01,Australia,174.0516,391.2603
1992-05-01,Australia,166.0491,400.0015
1992-08-01,Australia,165.4173,398.129
1992-11-01,Australia,167.9388,386.6274
1993-02-01,Australia,160.3257,354.5792
1993-05-01,Australia,164.7032,355.8013
1993-08-01,Australia,156.3909,373.5232
1993-11-01,Australia,167.5494,380.0714
1994-02-01,Australia,172.1496,401.6202
1994-05-01,Australia,173.996,405.2259
1994-08-01,Australia,182.9635,439.8914
1994-11-01,Australia,194.2055,436.5783
1995-02-01,Australia,188.6353,442.0343
1995-05-01,Australia,187.9778,476.4372
1995-08-01,Australia,179.0347,480.2274
1995-11-01,Australia,195.6666,490.6033
1996-02-01,Australia,208.0175,491.9936
1996-05-01,Australia,200.9227,508.8714
1996-08-01,Australia,198.4059,511.6263
1996-11-01,Australia,206.6237,509.1885
1997-02-01,Australia,203.1632,515.7624
1997-05-01,Australia,205.2622,521.9514
1997-08-01,Australia,192.0676,545.8795
1997-11-01,Australia,183.1797,545.3381
1998-02-01,Australia,184.3232,554.0308
1998-05-01,Australia,189.9236,540.3137
1998-08-01,Australia,183.4274,554.9321
1998-11-01,Australia,183.9226,554.0526
1999-02-01,Australia,184.184,554.6947
