state,industry_code,industry,non_employing,1_4_emp,5_19_emp,20_199_emp,200plus_emp,total
New South Wales,5420,Software Publishing,266,144,54,22,15,501
Victoria,5420,Software Publishing,222,78,36,12,5,353
Queensland,5420,Software Publishing,154,69,22,8,0,253
South Australia,5420,Software Publishing,39,12,3,3,0,57
Western Australia,5420,Software Publishing,73,22,6,0,0,103
Tasmania,5420,Software Publishing,9,3,3,0,0,13
Northern Territory,5420,Software Publishing,0,0,0,0,0,0
Australian Capital Territory,5420,Software Publishing,14,9,3,0,0,26
New South Wales,5700,Internet Publishing and Broadcasting,435,175,74,25,4,713
Victoria,5700,Internet Publishing and Broadcasting,305,88,40,12,3,447
Queensland,5700,Internet Publishing and Broadcasting,255,73,22,3,0,353
South Australia,5700,Internet Publishing and Broadcasting,53,19,4,0,0,76
Western Australia,5700,Internet Publishing and Broadcasting,108,23,9,4,0,144
Tasmania,5700,Internet Publishing and Broadcasting,17,8,3,0,0,27
Northern Territory,5700,Internet Publishing and Broadcasting,3,3,0,0,0,4
Australian Capital Territory,5700,Internet Publishing and Broadcasting,30,5,3,0,0,37
New South Wales,5921,Data Processing and Web Hosting,481,240,66,42,6,835
Victoria,5921,Data Processing and Web Hosting,328,131,46,21,3,528
Queensland,5921,Data Processing and Web Hosting,248,81,25,8,0,362
South Australia,5921,Data Processing and Web Hosting,63,30,6,0,0,100
Western Australia,5921,Data Processing and Web Hosting,121,47,19,5,0,192
Tasmania,5921,Data Processing and Web Hosting,18,6,3,0,0,27
Northern Territory,5921,Data Processing and Web Hosting,7,0,0,0,0,8
Australian Capital Territory,5921,Data Processing and Web Hosting,20,4,5,3,0,31
New South Wales,7000,Computer System Design and Related Services,11551,10115,1503,602,43,23814
Victoria,7000,Computer System Design and Related Services,10037,6574,1083,463,26,18183
Queensland,7000,Computer System Design and Related Services,5495,3739,610,199,4,10047
South Australia,7000,Computer System Design and Related Services,1567,798,166,62,3,2594
Western Australia,7000,Computer System Design and Related Services,2550,1365,307,92,3,4316
Tasmania,7000,Computer System Design and Related Services,355,205,49,13,0,622
Northern Territory,7000,Computer System Design and Related Services,100,59,23,6,0,188
Australian Capital Territory,7000,Computer System Design and Related Services,764,1374,174,64,4,2380
