date,occupation,state,state_name,vacancies
2006-03-01,ICT Managers,AUST,Australia,1041.0
2006-04-01,ICT Managers,AUST,Australia,1133.86
2006-05-01,ICT Managers,AUST,Australia,1234.43
2006-06-01,ICT Managers,AUST,Australia,1164.38
2006-07-01,ICT Managers,AUST,Australia,1232.43
2006-08-01,ICT Managers,AUST,Australia,1284.43
2006-09-01,ICT Managers,AUST,Australia,1383.86
2006-10-01,ICT Managers,AUST,Australia,1448.76
2006-11-01,ICT Managers,AUST,Australia,1448.21
2006-12-01,ICT Managers,AUST,Australia,1335.93
2007-01-01,ICT Managers,AUST,Australia,1198.66
2007-02-01,ICT Managers,AUST,Australia,1119.74
2007-03-01,ICT Managers,AUST,Australia,1242.92
2007-04-01,ICT Managers,AUST,Australia,1224.46
2007-05-01,ICT Managers,AUST,Australia,1284.44
2007-06-01,ICT Managers,AUST,Australia,1138.67
2007-07-01,ICT Managers,AUST,Australia,1148.5
2007-08-01,ICT Managers,AUST,Australia,1048.99
2007-09-01,ICT Managers,AUST,Australia,1060.61
2007-10-01,ICT Managers,AUST,Australia,1050.4
2007-11-01,ICT Managers,AUST,Australia,1022.4
2007-12-01,ICT Managers,AUST,Australia,892.14
2008-01-01,ICT Managers,AUST,Australia,789.18
2008-02-01,ICT Managers,AUST,Australia,717.54
2008-03-01,ICT Managers,AUST,Australia,727.74
2008-04-01,ICT Managers,AUST,Australia,717.84
2008-05-01,ICT Managers,AUST,Australia,690.53
2008-06-01,ICT Managers,AUST,Australia,691.88
2008-07-01,ICT Managers,AUST,Australia,666.77
2008-08-01,ICT Managers,AUST,Australia,605.75
2008-09-01,ICT Managers,AUST,Australia,532.1
2008-10-01,ICT Managers,AUST,Australia,477.55
2008-11-01,ICT Managers,AUST,Australia,466.45
2008-12-01,ICT Managers,AUST,Australia,411.17
2009-01-01,ICT Managers,AUST,Australia,365.04
2009-02-01,ICT Managers,AUST,Australia,316.95
2009-03-01,ICT Managers,AUST,Australia,320.7
2009-04-01,ICT Managers,AUST,Australia,301.38
2009-05-01,ICT Managers,AUST,Australia,314.58
2009-06-01,ICT Managers,AUST,Australia,694.75
2009-07-01,ICT Managers,AUST,Australia,743.88
2009-08-01,ICT Managers,AUST,Australia,749.51
2009-09-01,ICT Managers,AUST,Australia,405.51
2009-10-01,ICT Managers,AUST,Australia,375.19
2009-11-01,ICT Managers,AUST,Australia,360.85
2009-12-01,ICT Managers,AUST,Australia,314.68
2010-01-01,ICT Managers,AUST,Australia,335.44
2010-02-01,ICT Managers,AUST,Australia,361.87
2010-03-01,ICT Managers,AUST,Australia,420.03
2010-04-01,ICT Managers,AUST,Australia,412.92
2010-05-01,ICT Managers,AUST,Australia,426.81
2010-06-01,ICT Managers,AUST,Australia,433.66
2010-07-01,ICT Managers,AUST,Australia,482.76
2010-08-01,ICT Managers,AUST,Australia,505.88
2010-09-01,ICT Managers,AUST,Australia,542.73
2010-10-01,ICT Managers,AUST,Australia,564.3
2010-11-01,ICT Managers,AUST,Australia,589.64
2010-12-01,ICT Managers,AUST,Australia,535.67
2011-01-01,ICT Managers,AUST,Australia,505.95
2011-02-01,ICT Managers,AUST,Australia,481.89
2011-03-01,ICT Managers,AUST,Australia,559.49
2011-04-01,ICT Managers,AUST,Australia,559.78
2011-05-01,ICT Managers,AUST,Australia,572.23
2011-06-01,ICT Managers,AUST,Australia,540.66
2011-07-01,ICT Managers,AUST,Australia,549.83
2011-08-01,ICT Managers,AUST,Australia,543.14
2011-09-01,ICT Managers,AUST,Australia,532.91
2011-10-01,ICT Managers,AUST,Australia,524.25
2011-11-01,ICT Managers,AUST,Australia,484.8
2011-12-01,ICT Managers,AUST,Australia,414.97
2012-01-01,ICT Managers,AUST,Australia,380.35
2012-02-01,ICT Managers,AUST,Australia,386.77
2012-03-01,ICT Managers,AUST,Australia,446.91
2012-04-01,ICT Managers,AUST,Australia,465.86
2012-05-01,ICT Managers,AUST,Australia,479.19
2012-06-01,ICT Managers,AUST,Australia,444.03
2012-07-01,ICT Managers,AUST,Australia,426.23
2012-08-01,ICT Managers,AUST,Australia,392.33
2012-09-01,ICT Managers,AUST,Australia,390.67
2012-10-01,ICT Managers,AUST,Australia,396.33
2012-11-01,ICT Managers,AUST,Australia,398.0
2012-12-01,ICT Managers,AUST,Australia,346.67
2013-01-01,ICT Managers,AUST,Australia,319.33
2013-02-01,ICT Managers,AUST,Australia,302.0
2013-03-01,ICT Managers,AUST,Australia,336.33
2013-04-01,ICT Managers,AUST,Australia,331.33
2013-05-01,ICT Managers,AUST,Australia,345.67
2013-06-01,ICT Managers,AUST,Australia,344.67
2013-07-01,ICT Managers,AUST,Australia,358.0
2013-08-01,ICT Managers,AUST,Australia,350.0
2013-09-01,ICT Managers,AUST,Australia,340.67
2013-10-01,ICT Managers,AUST,Australia,324.67
2013-11-01,ICT Managers,AUST,Australia,303.33
2013-12-01,ICT Managers,AUST,Australia,269.33
2014-01-01,ICT Managers,AUST,Australia,257.33
2014-02-01,ICT Managers,AUST,Australia,297.67
2014-03-01,ICT Managers,AUST,Australia,352.0
2014-04-01,ICT Managers,AUST,Australia,371.0
2014-05-01,ICT Managers,AUST,Australia,349.33
2014-06-01,ICT Managers,AUST,Australia,351.0
2014-07-01,ICT Managers,AUST,Australia,374.0
2014-08-01,ICT Managers,AUST,Australia,379.67
2014-09-01,ICT Managers,AUST,Australia,376.67
2014-10-01,ICT Managers,AUST,Australia,370.67
2014-11-01,ICT Managers,AUST,Australia,369.33
2014-12-01,ICT Managers,AUST,Australia,347.0
2015-01-01,ICT Managers,AUST,Australia,344.0
2015-02-01,ICT Managers,AUST,Australia,359.67
2015-03-01,ICT Managers,AUST,Australia,394.67
2015-04-01,ICT Managers,AUST,Australia,408.0
2015-05-01,ICT Managers,AUST,Australia,411.0
2015-06-01,ICT Managers,AUST,Australia,415.33
2015-07-01,ICT Managers,AUST,Australia,410.67
2015-08-01,ICT Managers,AUST,Australia,396.0
2015-09-01,ICT Managers,AUST,Australia,418.67
2015-10-01,ICT Managers,AUST,Australia,429.0
2015-11-01,ICT Managers,AUST,Australia,443.67
2015-12-01,ICT Managers,AUST,Australia,389.67
2016-01-01,ICT Managers,AUST,Australia,371.0
2016-02-01,ICT Managers,AUST,Australia,368.0
2016-03-01,ICT Managers,AUST,Australia,386.0
2016-04-01,ICT Managers,AUST,Australia,396.67
2016-05-01,ICT Managers,AUST,Australia,425.67
2016-06-01,ICT Managers,AUST,Australia,429.33
2016-07-01,ICT Managers,AUST,Australia,444.33
2016-08-01,ICT Managers,AUST,Australia,443.0
2016-09-01,ICT Managers,AUST,Australia,450.33
2016-10-01,ICT Managers,AUST,Australia,422.67
2016-11-01,ICT Managers,AUST,Australia,389.0
2016-12-01,ICT Managers,AUST,Australia,344.67
2017-01-01,ICT Managers,AUST,Australia,354.0
2017-02-01,ICT Managers,AUST,Australia,356.33
2017-03-01,ICT Managers,AUST,Australia,414.0
2017-04-01,ICT Managers,AUST,Australia,401.67
2017-05-01,ICT Managers,AUST,Australia,415.67
2017-06-01,ICT Managers,AUST,Australia,411.33
2017-07-01,ICT Managers,AUST,Australia,437.0
2017-08-01,ICT Managers,AUST,Australia,460.67
2017-09-01,ICT Managers,AUST,Australia,447.33
2017-10-01,ICT Managers,AUST,Australia,459.0
2017-11-01,ICT Managers,AUST,Australia,435.0
2017-12-01,ICT Managers,AUST,Australia,412.0
2018-01-01,ICT Managers,AUST,Australia,422.0
2018-02-01,ICT Managers,AUST,Australia,461.67
2018-03-01,ICT Managers,AUST,Australia,524.0
2018-04-01,ICT Managers,AUST,Australia,523.67
2018-05-01,ICT Managers,AUST,Australia,491.67
2018-06-01,ICT Managers,AUST,Australia,477.0
2018-07-01,ICT Managers,AUST,Australia,486.67
2018-08-01,ICT Managers,AUST,Australia,515.67
2018-09-01,ICT Managers,AUST,Australia,507.0
2018-10-01,ICT Managers,AUST,Australia,502.0
2018-11-01,ICT Managers,AUST,Australia,503.0
2018-12-01,ICT Managers,AUST,Australia,466.67
2019-01-01,ICT Managers,AUST,Australia,475.33
2019-02-01,ICT Managers,AUST,Australia,458.67
2019-03-01,ICT Managers,AUST,Australia,519.67
2019-04-01,ICT Managers,AUST,Australia,482.0
2019-05-01,ICT Managers,AUST,Australia,488.0
2019-06-01,ICT Managers,AUST,Australia,467.33
2019-07-01,ICT Managers,AUST,Australia,492.33
2019-08-01,ICT Managers,AUST,Australia,482.0
2019-09-01,ICT Managers,AUST,Australia,482.33
2019-10-01,ICT Managers,AUST,Australia,482.0
2019-11-01,ICT Managers,AUST,Australia,464.0
2019-12-01,ICT Managers,AUST,Australia,423.67
2020-01-01,ICT Managers,AUST,Australia,403.67
2020-02-01,ICT Managers,AUST,Australia,390.67
2020-03-01,ICT Managers,AUST,Australia,388.67
2020-04-01,ICT Managers,AUST,Australia,316.0
2020-05-01,ICT Managers,AUST,Australia,287.33
2020-06-01,ICT Managers,AUST,Australia,286.0
2020-07-01,ICT Managers,AUST,Australia,347.33
2020-08-01,ICT Managers,AUST,Australia,379.0
2020-09-01,ICT Managers,AUST,Australia,426.67
2020-10-01,ICT Managers,AUST,Australia,451.33
2020-11-01,ICT Managers,AUST,Australia,486.0
2020-12-01,ICT Managers,AUST,Australia,455.0
2021-01-01,ICT Managers,AUST,Australia,445.67
2021-02-01,ICT Managers,AUST,Australia,458.0
2021-03-01,ICT Managers,AUST,Australia,567.33
2021-04-01,ICT Managers,AUST,Australia,594.0
2021-05-01,ICT Managers,AUST,Australia,623.33
2021-06-01,ICT Managers,AUST,Australia,588.33
2021-07-01,ICT Managers,AUST,Australia,626.33
2021-08-01,ICT Managers,AUST,Australia,646.33
2021-09-01,ICT Managers,AUST,Australia,684.67
2021-10-01,ICT Managers,AUST,Australia,704.0
2021-11-01,ICT Managers,AUST,Australia,721.0
2021-12-01,ICT Managers,AUST,Australia,664.67
2022-01-01,ICT Managers,AUST,Australia,683.0
2022-02-01,ICT Managers,AUST,Australia,722.0
2022-03-01,ICT Managers,AUST,Australia,834.67
2022-04-01,ICT Managers,AUST,Australia,814.33
2022-05-01,ICT Managers,AUST,Australia,793.0
2022-06-01,ICT Managers,AUST,Australia,755.33
2022-07-01,ICT Managers,AUST,Australia,808.0
2022-08-01,ICT Managers,AUST,Australia,847.67
2022-09-01,ICT Managers,AUST,Australia,852.67
2022-10-01,ICT Managers,AUST,Australia,824.67
2022-11-01,ICT Managers,AUST,Australia,762.0
2022-12-01,ICT Managers,AUST,Australia,664.0
2023-01-01,ICT Managers,AUST,Australia,642.33
2023-02-01,ICT Managers,AUST,Australia,641.0
2023-03-01,ICT Managers,AUST,Australia,744.0
2023-04-01,ICT Managers,AUST,Australia,724.0
2023-05-01,ICT Managers,AUST,Australia,735.67
2023-06-01,ICT Managers,AUST,Australia,712.0
2023-07-01,ICT Managers,AUST,Australia,706.33
2023-08-01,ICT Managers,AUST,Australia,717.33
2023-09-01,ICT Managers,AUST,Australia,696.0
2023-10-01,ICT Managers,AUST,Australia,725.0
2023-11-01,ICT Managers,AUST,Australia,705.33
2023-12-01,ICT Managers,AUST,Australia,618.67
2024-01-01,ICT Managers,AUST,Australia,580.0
2024-02-01,ICT Managers,AUST,Australia,535.33
2024-03-01,ICT Managers,AUST,Australia,616.0
2024-04-01,ICT Managers,AUST,Australia,584.67
2024-05-01,ICT Managers,AUST,Australia,593.0
2024-06-01,ICT Managers,AUST,Australia,551.0
2024-07-01,ICT Managers,AUST,Australia,587.33
2024-08-01,ICT Managers,AUST,Australia,601.0
2024-09-01,ICT Managers,AUST,Australia,618.33
2024-10-01,ICT Managers,AUST,Australia,604.33
2024-11-01,ICT Managers,AUST,Australia,557.0
2024-12-01,ICT Managers,AUST,Australia,485.67
2025-01-01,ICT Managers,AUST,Australia,467.67
2025-02-01,ICT Managers,AUST,Australia,456.0
2025-03-01,ICT Managers,AUST,Australia,518.33
2025-04-01,ICT Managers,AUST,Australia,522.67
2025-05-01,ICT Managers,AUST,Australia,538.33
2025-06-01,ICT Managers,AUST,Australia,526.33
2025-07-01,ICT Managers,AUST,Australia,517.0
2025-08-01,ICT Managers,AUST,Australia,493.0
2025-09-01,ICT Managers,AUST,Australia,484.67
2025-10-01,ICT Managers,AUST,Australia,483.67
2025-11-01,ICT Managers,AUST,Australia,459.67
2025-12-01,ICT Managers,AUST,Australia,403.33
2026-01-01,ICT Managers,AUST,Australia,380.33
2026-02-01,ICT Managers,AUST,Australia,424.0
2026-03-01,ICT Managers,AUST,Australia,512.67
2006-03-01,ICT Business and Systems Analysts,AUST,Australia,3125.14
2006-04-01,ICT Business and Systems Analysts,AUST,Australia,3231.26
2006-05-01,ICT Business and Systems Analysts,AUST,Australia,3467.43
2006-06-01,ICT Business and Systems Analysts,AUST,Australia,3511.86
2006-07-01,ICT Business and Systems Analysts,AUST,Australia,3674.57
2006-08-01,ICT Business and Systems Analysts,AUST,Australia,3730.18
2006-09-01,ICT Business and Systems Analysts,AUST,Australia,3804.7
2006-10-01,ICT Business and Systems Analysts,AUST,Australia,3907.47
2006-11-01,ICT Business and Systems Analysts,AUST,Australia,3939.81
2006-12-01,ICT Business and Systems Analysts,AUST,Australia,3549.35
2007-01-01,ICT Business and Systems Analysts,AUST,Australia,3573.19
2007-02-01,ICT Business and Systems Analysts,AUST,Australia,3617.34
2007-03-01,ICT Business and Systems Analysts,AUST,Australia,4309.8
2007-04-01,ICT Business and Systems Analysts,AUST,Australia,4409.76
2007-05-01,ICT Business and Systems Analysts,AUST,Australia,4793.18
2007-06-01,ICT Business and Systems Analysts,AUST,Australia,4718.77
2007-07-01,ICT Business and Systems Analysts,AUST,Australia,4934.1
2007-08-01,ICT Business and Systems Analysts,AUST,Australia,4862.5
2007-09-01,ICT Business and Systems Analysts,AUST,Australia,4926.76
2007-10-01,ICT Business and Systems Analysts,AUST,Australia,4924.21
2007-11-01,ICT Business and Systems Analysts,AUST,Australia,4813.89
2007-12-01,ICT Business and Systems Analysts,AUST,Australia,4377.2
2008-01-01,ICT Business and Systems Analysts,AUST,Australia,4343.73
2008-02-01,ICT Business and Systems Analysts,AUST,Australia,4465.11
2008-03-01,ICT Business and Systems Analysts,AUST,Australia,4880.64
2008-04-01,ICT Business and Systems Analysts,AUST,Australia,4956.67
2008-05-01,ICT Business and Systems Analysts,AUST,Australia,5002.26
2008-06-01,ICT Business and Systems Analysts,AUST,Australia,5023.99
2008-07-01,ICT Business and Systems Analysts,AUST,Australia,4933.86
2008-08-01,ICT Business and Systems Analysts,AUST,Australia,4613.77
2008-09-01,ICT Business and Systems Analysts,AUST,Australia,4486.26
2008-10-01,ICT Business and Systems Analysts,AUST,Australia,4220.22
2008-11-01,ICT Business and Systems Analysts,AUST,Australia,3904.5
2008-12-01,ICT Business and Systems Analysts,AUST,Australia,3305.9
2009-01-01,ICT Business and Systems Analysts,AUST,Australia,2867.79
2009-02-01,ICT Business and Systems Analysts,AUST,Australia,2659.42
2009-03-01,ICT Business and Systems Analysts,AUST,Australia,2665.97
2009-04-01,ICT Business and Systems Analysts,AUST,Australia,2568.76
2009-05-01,ICT Business and Systems Analysts,AUST,Australia,2596.64
2009-06-01,ICT Business and Systems Analysts,AUST,Australia,2723.98
2009-07-01,ICT Business and Systems Analysts,AUST,Australia,2875.09
2009-08-01,ICT Business and Systems Analysts,AUST,Australia,2813.61
2009-09-01,ICT Business and Systems Analysts,AUST,Australia,2843.03
2009-10-01,ICT Business and Systems Analysts,AUST,Australia,2815.68
2009-11-01,ICT Business and Systems Analysts,AUST,Australia,2769.12
2009-12-01,ICT Business and Systems Analysts,AUST,Australia,2513.66
2010-01-01,ICT Business and Systems Analysts,AUST,Australia,2532.94
2010-02-01,ICT Business and Systems Analysts,AUST,Australia,2756.34
2010-03-01,ICT Business and Systems Analysts,AUST,Australia,3242.26
2010-04-01,ICT Business and Systems Analysts,AUST,Australia,3459.8
2010-05-01,ICT Business and Systems Analysts,AUST,Australia,3928.95
2010-06-01,ICT Business and Systems Analysts,AUST,Australia,4199.69
